Order ID	Job ID	Job Name	Job Description	Imprints
19514	1325	USAF Sweatshirt	Ash crew neck sweat shirt with digital print on front, back, and sleeves.	Direct To Garment,Front
19522	1326	Coffee T-shirts	Tri-blend shirts with digital print on front and back.	Direct To Garment,Front,Back
19590	1328	Custom Tee for Tori	Women's 2000L white shirt with digital printing on front	Direct To Garment,Front
19688	1331	GoBzB.com Embroidery	""	Embroidery
19735	1335	2 Color Front 2 Color Back	""	Screen Print,2-C,Front	Screen Print,2-C,Back
19740	1336	CCMU Tees	Heather gray w/ 1 cf 1 cb	Screen Print,1-C,Front
19926	1338	Independence Day Shirts	Five color front, three color back print on shade of green TBD.	Screen Print,5-C,Front	Screen Print,3-C,Back
19954	1341	Sure do Like Pumpkins	Digital print on full chest and right sleeve in orange ink.	Direct To Garment,Front
20032	1344	A2 Volleyball Club	Digital print 4,16,160 blue on front chest.	Direct To Garment,Front
20086	1345	Chelsea Sounds and Sights	White Am App shirts with digital print on front left chest in purple.	Direct To Garment,Front
20102	1350	Allstarz Paintball	Digital print on front and back of long sleeve ash shirts. Unique name on back of each (first and last name).	Direct To Garment,Front,Back
20103	1351	Jetty Rae T-shirts	American Apparel creme shirts (crew and v-neck) with digital print on front.	Direct To Garment,Front
20241	1356	Starfarm Tanks!	Digital print on front of white wife beaters.	Direct To Garment,Front
20469	1366	TorrenceLearning Follow-Up	Black digital print on white shirts.	Direct To Garment,Front
20484	1368	Liquor in the Front	White Hanes 5250 t-shirts with a four color process print on back and two color print on front.	Screen Print,2-C,Front
20486	1369	Amanda's Art Prints	White Gildan 5000 t-shirts with four digital prints on front.	Direct To Garment,Front
20558	1373	Digital print for Trevor	Anvil t-shirts with digital print on front full chest.	Direct To Garment,Front
20562	1374	I Give Up	Jerzees 973 sweatpants with digital print on left thigh by band.	Direct To Garment,Front
20568	1377	Mitch-a-Palooza	Digital print on front and back of light blue shirts.	Direct To Garment,Front,Back
20626	1382	Hawaiian Volleyball	White tanks with digital print on front and back.	Direct To Garment,Front,Back
20629	1383	U Housing Embroidery	Yellow Gold 1624, White 1801, and Navy 1764 thread on navy Anvil 6002 polos.	Embroidery
20993	1389	Rich Decisions Auto	Digital print on front and back.	Direct To Garment,Front,Back
21013	1393	Murphy for School Board	White shirts with digital print in red and blue on front and back.	Direct To Garment,Front,Back
21113	1403	Team 41 Shirts	Provided white shirts with black digital print on front and back.	Direct To Garment,Front,Back
21122	1404	Poured Out: Joplin Relief	Gildan Ice Gray with black print on front and digital print on back.	Direct To Garment,Front,Back
21199	1407	Vibe Fit	Digital print on chest of two women's shirts.	Direct To Garment,Front
21217	1410	EPC Apparel, Summer 2011	Digital print on front and back.	Direct To Garment,Front,Back
21479	1415	Pro Image Group	Digital print with black ink on front and back.	Direct To Garment,Front,Back
21510	1420	Waterfall	Digital print on front and back of light blue shirt.	Direct To Garment,Front,Back
21529	1422	Freeze Pops	Sport Gray Gildan shirt with digital print on front chest.	Direct To Garment,Front
21535	1426	Johnson Farms	1-Color Front, 1-Color Back	Screen Print,1-C,Front	Screen Print,1-C,Back
21551	1428	I Heart Neville	Purple shirt with digital print on front.	Direct To Garment,Front
21562	1430	Team Swift	White digital print on front and back of raglan shirts.	Direct To Garment,Front,Back
21623	1440	Version 1: Which Bud's for You?	"Digital print on left chest. ""Which Bud's for You?"" on the back."	Direct To Garment,Front
21623	1441	Version 2: No Quote on Back	Digital print on left chest. No Quote on Back	Direct To Garment,Back
21636	1443	Pankaj Shirts	Prairie Gildan 2000 shirts with two color print on front.	Screen Print,2-C,Front
21687	1447	The Wedding Singer	Digital Kornit print on front of sapphire shirts.	Direct To Garment,Front
21690	1449	Keep Calm and Harry, Ron	Digital print on front and back of navy shirt	Direct To Garment,Front,Back
21698	1451	What's Your Story?	Digital print on front of brown Gildan 2000 t-shirts.	Direct To Garment,Front
21731	1452	Embroidery	Embroidered logo on left chest.	Embroidery
21833	1462	Starfarm Tanks!	DTG print on front.	Direct To Garment,Front
21836	1463	Sad Panda DJ	Digital print on front of black shirts.	Direct To Garment,Front
22023	1466	I Heart NY	White tees (boys, girls, toddler. Digital print on front.	Direct To Garment,Front
22026	1467	Gestwicki Lab	Digital print on front and back of white shirts.	Direct To Garment,Front,Back
22076	1472	Marika Lynn	Digital print on front of white shirts.	Direct To Garment,Front
22110	1476	Le Tour de Shores, 2011	Full color print on front. Black print on bottom of back + individual name on top. Our logo in 2 colors on sleeve.	Screen Print,Full Color,Front
22116	1478	Feldberg	White LAT women's scoop neck with digital print on front (left chest) and full back.	Direct To Garment,Front
22125	1480	Sex Lab	White American Apparel shirts with a digital print on front.	Direct To Garment,Front
22165	1481	Head Hamster	Digital print on navy shirt.	Direct To Garment,Front
22175	1483	Real Men	Digital print on front and back.	Direct To Garment,Front,Back
22212	1488	Unity Vibration	White shirts with digital print on front and back.	Direct To Garment,Front,Back
22227	1491	Sa-Som Superstarts	Navy ink (digital print) on 6.1oz youth shirts and a onesie.	Direct To Garment,Front
22272	1494	Tuthill Farms	Digital Kornit print on various items.	Direct To Garment,Front
22276	1495	PittsBORG	Black shirts with digital print on front and back.	Direct To Garment,Front,Back
22282	1496	Tour Shirts	Digital print on front and back.	Direct To Garment,Front,Back
22282	1497	STAFF	Digital print on front and back.	Direct To Garment,Front,Back
22286	1498	Michigan State Capitol	Kelly green shirts with digital print on front.	Direct To Garment,Front
22338	1502	The Beavers Softball	Minnesota Wild colors. Four color print on front and number on back (on some)	Screen Print,4-C,Front
22352	1504	Deep Fried Delights	Digital print on left chest and full back of a white and a black shirt.	Direct To Garment,Front
22354	1505	WishStrong	Digital print on front and back of American Apparel sunshine t-shirts.	Direct To Garment,Front,Back
22446	1518	Farmingdale 2011	White apparel, ship UPS Ground. Digital print on front and back.	Direct To Garment,Front,Back
22463	1520	Ann Arbor College of Martial Arts	Black Gildan 2000 with two color front and back.	Screen Print,2-C,Front
22587	1529	Music Ed Masters	White Gildan 2000 t-shirts with full color print on front and back.	Screen Print,Full Color,Front
22598	1534	Racine	Digital print on an XL natural shirt.	Direct To Garment,Front
